system:index,CHIRPS_MATOC,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_MATOC_CORR
116,34.19070463914137,2021-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-09-01,9,0.9070016507451076,31.011025547839633
117,62.421694627174965,2021-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-10-01,10,1.3044451451374333,81.42567650766979
118,105.11213326454164,2021-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-11-01,11,1.4967678322639064,157.32845985100283
119,85.77745614143518,2021-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-12-01,12,1.6946525708826246,145.3629865738547
120,121.64305799741012,2022-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-01,1,1.4594143508430073,177.5276245218486
121,144.94578138681558,2022-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-02-01,2,1.1729096681517877,170.0083083464114
122,166.04185371215524,2022-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-03-01,3,1.0176523505820951,168.97288272518315
123,92.86954932946423,2022-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-04-01,4,1.4159446733735415,131.49814369165622
124,41.19440262134259,2022-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-05-01,5,1.5219398888725382,62.69540454769674
125,6.2350075479883404,2022-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-06-01,6,1.7515368991023574,10.92084578648329
126,1.8232867075846744,2022-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-07-01,7,1.7446835045501838,3.181058242788596
127,7.779973479417654,2022-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-08-01,8,1.1623543434326868,9.043085965592223
128,57.8159729058926,2022-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-09-01,9,0.9070016507451076,52.439182865079005
129,55.58932636334346,2022-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-10-01,10,1.3044451451374333,72.51322689612371
130,45.78560878680302,2022-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-11-01,11,1.4967678322639064,68.53042641270642
131,80.74349552851457,2022-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-12-01,12,1.6946525708826246,136.83217227944692
