fecha,Q_m3s
2014-10-10,0.011775395833333334
2014-10-11,0.0102913125
2014-10-12,0.009576642361111111
2014-10-13,0.010332083333333332
2014-10-14,0.01159671875
2014-10-15,0.009630142361111111
2014-10-16,0.008141111111111111
2014-10-17,0.007890545138888889
2014-10-18,0.0077597986111111105
2014-10-19,0.007892729166666666
2014-10-20,0.009899059027777777
2014-10-21,0.011316204861111111
2014-10-22,0.012601614583333332
2014-10-23,0.011350371527777778
2014-10-24,0.026631143356643357
2014-10-25,0.042498895833333335
2014-10-26,0.039895487804878046
2014-10-27,0.02411772222222222
2014-10-28,0.026860347222222223
2014-10-29,0.04588126736111111
2014-10-30,0.04949584027777778
2014-10-31,0.03520081944444445
2014-11-01,0.027148986111111113
2014-11-02,0.02712317361111111
2014-11-03,0.03756533333333333
2014-11-04,0.03553803125
2014-11-05,0.02891813541666667
2014-11-06,0.024054940972222223
2014-11-07,0.05490252777777778
2014-11-08,0.06113315625000001
2014-11-09,0.048254725694444445
2014-11-10,0.051408430069930074
2014-11-11,0.09947940277777778
2014-11-12,0.10507761805555556
2014-11-13,0.16421028873239438
2014-11-14,0.1578133611111111
2014-11-15,0.14204785416666665
2014-11-16,0.18008955000000001
2014-11-17,0.19790139024390244
2014-11-18,0.16425481249999999
2014-11-19,0.12136315277777777
2014-11-20,0.09689926041666667
